epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,10670.3,0.54129,1.25026,0.99024,0.88543,0.84466,0.89874,0.73562,0.48249,0.96647,0.96843,0.00127123,0.00127123,0.00127123
85,10797.6,0.54088,1.23055,0.97664,0.9177,0.83203,0.89936,0.74177,0.48021,0.93859,0.95882,0.0012562,0.0012562,0.0012562
86,10923.6,0.53884,1.2182,0.97905,0.88454,0.86583,0.88939,0.7268,0.48431,0.95203,0.96314,0.00124111,0.00124111,0.00124111
87,11049.7,0.5429,1.23132,0.98502,0.91415,0.84972,0.89813,0.73591,0.48268,0.94075,0.96189,0.00122596,0.00122596,0.00122596
88,11176.2,0.53613,1.21286,0.9834,0.92442,0.84873,0.90778,0.74081,0.48192,0.94972,0.96352,0.00121076,0.00121076,0.00121076
89,11302.7,0.53451,1.19903,0.97796,0.91244,0.85118,0.90076,0.73181,0.48365,0.93758,0.96111,0.00119551,0.00119551,0.00119551
90,11429,0.53773,1.20533,0.98109,0.91807,0.84931,0.90573,0.74566,0.47947,0.92154,0.96048,0.00118021,0.00118021,0.00118021
91,11555.2,0.54064,1.20119,0.97695,0.92796,0.8367,0.90853,0.74691,0.47942,0.9221,0.95738,0.00116487,0.00116487,0.00116487
92,11681.8,0.53347,1.19463,0.97343,0.93392,0.84168,0.9117,0.75344,0.47723,0.91348,0.95565,0.00114949,0.00114949,0.00114949
93,11808.8,0.52937,1.18219,0.97185,0.90943,0.85749,0.90725,0.7529,0.47782,0.91007,0.95615,0.00113408,0.00113408,0.00113408
94,11934.3,0.52547,1.15125,0.97293,0.91328,0.86085,0.91161,0.75571,0.47655,0.90975,0.95569,0.00111864,0.00111864,0.00111864
95,12061,0.53407,1.15479,0.97715,0.93222,0.8504,0.91179,0.75283,0.47969,0.91192,0.95693,0.00110317,0.00110317,0.00110317
96,12188.2,0.53084,1.1668,0.97073,0.92148,0.86681,0.90886,0.75021,0.47506,0.90468,0.95541,0.00108767,0.00108767,0.00108767
97,12314.2,0.52745,1.15609,0.97462,0.91947,0.85727,0.90929,0.75067,0.47588,0.91022,0.95377,0.00107216,0.00107216,0.00107216
98,12440.2,0.52194,1.14828,0.96896,0.92677,0.86,0.91194,0.74472,0.47321,0.90689,0.95357,0.00105664,0.00105664,0.00105664
99,12566.6,0.53044,1.14207,0.97064,0.93525,0.86633,0.91906,0.75242,0.47229,0.90013,0.95222,0.0010411,0.0010411,0.0010411
100,12693.9,0.52745,1.14965,0.96563,0.93093,0.86008,0.91539,0.75401,0.47241,0.89379,0.95302,0.00102555,0.00102555,0.00102555
101,12819.6,0.53102,1.11608,0.96306,0.90871,0.8656,0.91361,0.7547,0.47183,0.89187,0.94894,0.00101,0.00101,0.00101
102,12946.8,0.52238,1.12867,0.96927,0.91717,0.8626,0.91476,0.75587,0.47279,0.88359,0.94862,0.00099445,0.00099445,0.00099445
103,13073.3,0.52551,1.12367,0.96245,0.92649,0.85388,0.91675,0.75908,0.47281,0.89444,0.95006,0.000978903,0.000978903,0.000978903
104,13200.1,0.52188,1.10026,0.96248,0.92387,0.85471,0.91876,0.75988,0.46897,0.88698,0.9507,0.000963365,0.000963365,0.000963365
105,13326.6,0.51859,1.11497,0.96873,0.92656,0.8668,0.91518,0.76153,0.47157,0.87845,0.94982,0.000947837,0.000947837,0.000947837
106,13453.7,0.52011,1.1102,0.96849,0.91951,0.87153,0.91865,0.76419,0.4697,0.86635,0.94792,0.000932325,0.000932325,0.000932325
107,13580.6,0.51523,1.07794,0.96168,0.92495,0.86909,0.92094,0.76617,0.46817,0.87226,0.94551,0.000916833,0.000916833,0.000916833
108,13706,0.51394,1.07396,0.9619,0.93974,0.86089,0.91976,0.76502,0.46693,0.86533,0.94668,0.000901363,0.000901363,0.000901363
109,13832.3,0.51776,1.09945,0.95741,0.93195,0.87456,0.92449,0.7709,0.4664,0.86627,0.94713,0.00088592,0.00088592,0.00088592
110,13958.8,0.51979,1.08265,0.96035,0.93045,0.87447,0.92429,0.76836,0.46496,0.8598,0.94374,0.000870508,0.000870508,0.000870508
111,14085,0.51155,1.08156,0.96054,0.93661,0.87168,0.92182,0.77033,0.46605,0.86277,0.94281,0.00085513,0.00085513,0.00085513
112,14212,0.51343,1.06653,0.962,0.92929,0.87701,0.92272,0.77264,0.46445,0.85879,0.94123,0.00083979,0.00083979,0.00083979
113,14338.7,0.51078,1.07079,0.95972,0.92545,0.87055,0.92486,0.77096,0.46549,0.87096,0.94225,0.000824492,0.000824492,0.000824492
114,14464.5,0.50918,1.04878,0.95398,0.91601,0.88756,0.92472,0.77362,0.46542,0.85613,0.94292,0.000809241,0.000809241,0.000809241
115,14592.4,0.51189,1.06629,0.96096,0.92786,0.87673,0.92604,0.77328,0.46526,0.85571,0.94309,0.000794038,0.000794038,0.000794038
116,14718.7,0.50525,1.0514,0.9567,0.93572,0.874,0.92467,0.77447,0.46418,0.85706,0.94116,0.000778889,0.000778889,0.000778889
117,14845.3,0.50588,1.04093,0.95047,0.93318,0.87492,0.92282,0.77571,0.46257,0.84673,0.93857,0.000763797,0.000763797,0.000763797
118,14972.1,0.50898,1.02281,0.94927,0.93631,0.88291,0.9267,0.77706,0.46025,0.84401,0.9369,0.000748766,0.000748766,0.000748766
119,15099.1,0.50125,1.02456,0.95018,0.92247,0.88911,0.92563,0.77608,0.46072,0.83985,0.93685,0.000733799,0.000733799,0.000733799
120,15225.1,0.49911,1.0151,0.94664,0.93219,0.87448,0.92388,0.7753,0.46081,0.83558,0.93777,0.0007189,0.0007189,0.0007189
121,15351.8,0.50133,1.02385,0.95204,0.93186,0.87948,0.92624,0.77673,0.46023,0.83127,0.93804,0.000704073,0.000704073,0.000704073
122,15478.4,0.50146,1.00873,0.94541,0.93752,0.87822,0.92523,0.77753,0.46034,0.83569,0.93882,0.000689322,0.000689322,0.000689322
123,15604.8,0.50231,1.00902,0.95596,0.93256,0.87923,0.92459,0.77696,0.45952,0.83537,0.93819,0.000674649,0.000674649,0.000674649
124,15730.4,0.50389,1.02196,0.95649,0.93429,0.88117,0.92426,0.77652,0.45899,0.83203,0.93813,0.00066006,0.00066006,0.00066006
125,15856.4,0.50173,0.99913,0.94835,0.93227,0.87437,0.92364,0.7765,0.45898,0.83719,0.93869,0.000645557,0.000645557,0.000645557
126,15982.5,0.49694,0.99242,0.94637,0.93261,0.8853,0.92404,0.77602,0.45802,0.82937,0.93825,0.000631143,0.000631143,0.000631143
127,16108.5,0.5004,0.98854,0.94732,0.94144,0.87696,0.9253,0.77888,0.45783,0.81946,0.93778,0.000616824,0.000616824,0.000616824
128,16235.1,0.49045,0.96952,0.94426,0.93626,0.88085,0.92673,0.77993,0.45566,0.81826,0.93512,0.000602601,0.000602601,0.000602601
129,16361.4,0.4896,0.98137,0.94637,0.92995,0.88049,0.92794,0.78373,0.45476,0.81917,0.93433,0.000588479,0.000588479,0.000588479
130,16488.2,0.49675,0.98289,0.94767,0.9302,0.88563,0.92944,0.78203,0.45488,0.8205,0.93481,0.00057446,0.00057446,0.00057446
131,16614.7,0.49696,0.99805,0.94761,0.93011,0.88299,0.92935,0.78202,0.45468,0.8202,0.93461,0.000560549,0.000560549,0.000560549
132,16741.5,0.48979,0.96366,0.94,0.93548,0.88522,0.93193,0.78133,0.45383,0.8162,0.93322,0.000546749,0.000546749,0.000546749
133,16868.4,0.48763,0.97092,0.94074,0.93533,0.88549,0.93379,0.78302,0.45283,0.80989,0.93288,0.000533064,0.000533064,0.000533064
134,16995,0.49336,0.96297,0.94159,0.93219,0.88816,0.9335,0.78418,0.45272,0.8086,0.93272,0.000519496,0.000519496,0.000519496
135,17121.4,0.48914,0.96006,0.94524,0.93099,0.89181,0.93362,0.78549,0.45294,0.80594,0.93331,0.000506049,0.000506049,0.000506049
136,17247.8,0.48888,0.95911,0.94543,0.93676,0.88399,0.93242,0.78477,0.4528,0.80233,0.93305,0.000492726,0.000492726,0.000492726
137,17373.6,0.48783,0.96117,0.94439,0.94212,0.88404,0.93387,0.78516,0.45329,0.80552,0.93269,0.000479531,0.000479531,0.000479531
138,17499.7,0.4848,0.94332,0.93762,0.94243,0.88449,0.93398,0.7841,0.45317,0.80422,0.93293,0.000466467,0.000466467,0.000466467
139,17625.1,0.48509,0.92558,0.93669,0.93525,0.89208,0.93167,0.7862,0.45313,0.80547,0.93249,0.000453537,0.000453537,0.000453537
140,17751.3,0.48487,0.94677,0.94394,0.93637,0.89115,0.93226,0.78724,0.45331,0.80412,0.93243,0.000440745,0.000440745,0.000440745
141,17878.2,0.48832,0.94724,0.93988,0.94236,0.88495,0.93231,0.78841,0.45334,0.80301,0.93174,0.000428093,0.000428093,0.000428093
